,mV
1193,2079
1194,2093
1195,2097
1196,2102
1197,2096
1198,2090
1199,2081
1200,2069
1201,2047
1202,2030
1203,2003
1204,1984
1205,1974
1206,1967
1207,1967
1208,1967
1209,1968
1210,1971
1211,1984
1212,1988
1213,1986
1214,1983
1215,1975
1216,1965
1217,1952
1218,1935
1219,1915
1220,1895
1221,1876
1222,1863
1223,1861
1224,1857
1225,1856
1226,1861
1227,1872
1228,1882
1229,1889
1230,1887
1231,1884
1232,1878
1233,1871
1234,1856
1235,1843
1236,1828
1237,1802
1238,1790
1239,1776
1240,1773
1241,1762
1242,1767
1243,1773
1244,1781
1245,1793
1246,1796
1247,1798
1248,1795
1249,1795
1250,1796
1251,1791
1252,1780
1253,1769
1254,1754
1255,1747
1256,1742
1257,1739
1258,1743
1259,1744
1260,1757
1261,1771
1262,1785
1263,1790
1264,1793
1265,1797
1266,1793
1267,1792
1268,1780
1269,1766
1270,1751
1271,1744
1272,1742
1273,1738
1274,1744
1275,1749
1276,1757
1277,1763
1278,1775
1279,1778
1280,1776
1281,1771
1282,1767
1283,1763
1284,1759
1285,1745
1286,1739
1287,1736
1288,1735
1289,1743
1290,1751
1291,1758
1292,1771
1293,1783
1294,1801
1295,1812
1296,1810
1297,1815
1298,1820
1299,1818
1300,1812
1301,1808
1302,1802
1303,1794
1304,1795
1305,1793
1306,1797
1307,1801
1308,1807
1309,1811
1310,1823
1311,1835
1312,1833
1313,1829
1314,1825
1315,1817
1316,1814
1317,1812
1318,1808
1319,1807
1320,1802
1321,1798
1322,1799
1323,1803
1324,1808
1325,1818
1326,1829
1327,1845
1328,1857
1329,1859
1330,1857
1331,1857
1332,1856
1333,1851
1334,1841
1335,1833
1336,1829
1337,1824
1338,1829
1339,1837
1340,1843
1341,1855
1342,1863
1343,1875
1344,1887
1345,1892
1346,1890
1347,1884
1348,1878
1349,1872
1350,1866
1351,1855
1352,1840
1353,1829
1354,1822
1355,1819
1356,1821
1357,1821
1358,1811
1359,1817
1360,1826
1361,1839
1362,1847
1363,1853
1364,1855
1365,1853
1366,1854
1367,1856
1368,1853
1369,1842
1370,1837
1371,1830
1372,1825
1373,1824
1374,1827
1375,1827
1376,1826
1377,1835
1378,1841
1379,1851
1380,1852
1381,1846
1382,
1383,1840
1384,1840
1385,1840
1386,1831
1387,1825
1388,1815
1389,1808
1390,1806
1391,1799
1392,1802
1393,1803
1394,1808
1395,1813
1396,1825
1397,1831
1398,1835
1399,1827
1400,1822
1401,1813
1402,1808
1403,1807
1404,1795
1405,1785
1406,1779
1407,1777
1408,1781
1409,1786
1410,1791
1411,1803
1412,1808
1413,1821
1414,1824
1415,1823
1416,1820
1417,1810
1418,1807
1419,1795
1420,1787
1421,1776
1422,1770
1423,1765
1424,1771
1425,1776
1426,1785
1427,1805
1428,1815
1429,1835
1430,1849
1431,1856
1432,1856
1433,1859
1434,1856
1435,1855
1436,1849
1437,1838
1438,1822
1439,1810
1440,1808
1441,1808
1442,1802
1443,1809
1444,1813
1445,1821
1446,1833
1447,1839
1448,1834
1449,1829
1450,1821
1451,1813
1452,1808
1453,1803
1454,1795
1455,1779
1456,1776
1457,1777
1458,1786
1459,1795
1460,1807
1461,1817
1462,1824
1463,1842
1464,1843
1465,1842
1466,1840
1467,1833
1468,1824
1469,1814
1470,1805
1471,1786
1472,1775
1473,1767
1474,1773
1475,1772
1476,1775
1477,1779
1478,1789
1479,1805
1480,1819
1481,1826
1482,1826
1483,1826
1484,1827
1485,1830
1486,1825
1487,1814
1488,1806
1489,1795
1490,1793
1491,1792
1492,1792
1493,1798
1494,1805
1495,1840
1496,1837
1497,1837
1498,1829
1499,1823
1500,1808
1501,1799
1502,1791
1503,1791
1504,1792
1505,1798
1506,1804
1507,1809
1508,1818
1509,1835
1510,1840
1511,1842
1512,1840
1513,1839
1514,1835
1515,1824
1516,1812
1517,1803
1518,1793
1519,1796
1520,1797
1521,1807
1522,1811
1523,1823
1524,1837
1525,1845
1526,1856
1527,1863
1528,1861
1529,1857
1530,1855
1531,1847
1532,1841
1533,1837
1534,1823
1535,1823
1536,1827
1537,1835
1538,1846
1539,1856
1540,1869
1541,1884
1542,1904
1543,1915
1544,1924
1545,1924
1546,1925
1547,1922
1548,1920
1549,1918
1550,1911
1551,1905
1552,1909
1553,1919
1554,1931
1555,1936
1556,1943
1557,1956
1558,1967
1559,1981
1560,1985
1561,1984
1562,1983
1563,1968
1564,1947
1565,1930
1566,1907
1567,1903
1568,1892
1569,1883
1570,1879
1571,1883
1572,1893
1573,1901
1574,1906
1575,1905
1576,1903
1577,1899
1578,
1579,1893
1580,1886
1581,1872
1582,1872
1583,1869
1584,1866
1585,1866
1586,1861
1587,1861
1588,1858
1589,1857
1590,1867
1591,1862
1592,1858
1593,1844
1594,1834
1595,1819
1596,1808
1597,1792
1598,1775
1599,1759
1600,1755
1601,1755
1602,1761
1603,1765
1604,1773
1605,1785
1606,1801
1607,1813
1608,1826
1609,1830
1610,1831
1611,1827
1612,1823
1613,1812
1614,1799
1615,1792
1616,1781
1617,1781
1618,1783
1619,1795
1620,1799
1621,1811
1622,1829
1623,1847
1624,1861
1625,1865
1626,1863
1627,1859
1628,1853
1629,1842
1630,1831
1631,1819
1632,1806
1633,1798
1634,1796
1635,1794
1636,
1637,1797
1638,1802
1639,1805
1640,1814
1641,1833
1642,1840
1643,1840
1644,1837
1645,1836
1646,1833
1647,1829
1648,1825
1649,1817
1650,1808
1651,1808
1652,1808
1653,1810
1654,1820
1655,1827
1656,1840
1657,1853
1658,1866
1659,1869
1660,1869
1661,1865
1662,1863
1663,1858
1664,1856
1665,1851
1666,1842
1667,1840
1668,1841
1669,1845
1670,1852
1671,1858
1672,1867
1673,1878
1674,1893
1675,1903
1676,1902
1677,1899
1678,1893
1679,1885
1680,1883
1681,1873
1682,1856
1683,1851
1684,1840
1685,1846
1686,1853
1687,1859
1688,1872
1689,1881
1690,1881
1691,1877
1692,1873
1693,1873
1694,1871
1695,1870
1696,1867
1697,
1698,1869
1699,1878
1700,1904
1701,1927
1702,1961
1703,1999
1704,2047
1705,2103
1706,2160
1707,2221
1708,2277
1709,2343
1710,2415
1711,2486
1712,2559
1713,2640
1714,2709
1715,2786
1716,2873
1717,2967
1718,3059
1719,3163
1720,3261
1721,3361
