,mV
1509,2019
1510,2005
1511,2002
1512,2002
1513,2007
1514,2022
1515,2035
1516,2067
1517,2095
1518,2123
1519,2148
1520,2170
1521,2183
1522,2187
1523,2188
1524,2176
1525,2171
1526,2158
1527,2138
1528,2115
1529,2096
1530,2080
1531,2070
1532,2069
1533,2079
1534,2091
1535,2102
1536,2116
1537,2127
1538,2128
1539,2130
1540,2133
1541,2126
1542,2112
1543,2099
1544,2084
1545,2075
1546,2070
1547,2071
1548,2074
1549,2079
1550,2085
1551,2091
1552,2097
1553,2098
1554,2096
1555,2091
1556,2077
1557,2059
1558,2016
1559,1972
1560,1927
1561,1884
1562,1849
1563,1827
1564,1821
1565,1815
1566,1828
1567,1842
1568,1862
1569,1874
1570,1888
1571,1905
1572,1915
1573,1921
1574,1922
1575,1915
1576,1902
1577,1883
1578,1872
1579,1863
1580,1867
1581,1876
1582,1899
1583,1924
1584,1947
1585,1968
1586,1981
1587,1983
1588,1984
1589,1969
1590,1947
1591,1925
1592,1895
1593,1871
1594,1847
1595,1839
1596,1844
1597,1856
1598,1867
1599,1879
1600,1902
1601,1921
1602,1936
1603,1957
1604,1968
1605,1977
1606,1977
1607,1969
1608,1955
1609,1933
1610,1906
1611,1875
1612,1855
1613,1838
1614,1825
1615,1827
1616,1840
1617,1863
1618,1894
1619,1919
1620,1940
1621,1966
1622,1975
1623,1981
1624,1983
1625,1973
1626,1967
1627,1949
1628,1937
1629,1921
1630,1903
1631,1889
1632,1874
1633,1871
1634,1872
1635,1872
1636,1872
1637,1869
1638,1871
1639,1870
1640,1872
1641,1887
1642,1887
1643,1892
1644,1895
1645,1904
1646,1922
1647,1944
1648,1980
1649,2030
1650,2082
1651,2141
1652,2185
1653,2230
1654,2262
1655,2288
1656,2313
1657,2320
1658,2326
1659,2321
1660,2320
1661,2330
1662,2346
1663,2371
1664,2414
1665,2462
1666,2515
1667,2573
1668,2626
1669,2668
1670,2691
1671,2704
1672,2693
1673,2672
1674,2626
1675,2559
1676,2483
1677,2401
1678,2311
1679,2217
1680,2128
1681,2045
1682,1969
1683,1915
1684,1872
1685,1845
1686,1826
1687,1808
1688,1801
1689,1785
1690,1774
1691,1758
1692,1734
1693,1716
1694,1698
1695,1690
1696,1685
1697,1691
1698,1706
1699,1728
1700,1775
1701,1817
1702,1865
1703,1906
1704,1936
1705,1953
1706,1963
1707,1964
1708,1941
1709,1923
1710,1903
1711,1881
1712,1869
1713,1863
1714,1870
1715,1879
1716,1899
1717,1929
1718,1955
1719,1984
1720,2002
1721,2019
1722,2017
1723,2005
1724,1983
1725,1949
1726,1913
1727,1876
1728,1854
1729,1831
1730,1826
1731,1833
1732,1853
1733,1882
1734,1921
1735,1970
1736,2013
1737,2053
1738,2080
1739,2096
1740,2098
1741,2089
1742,2066
1743,2042
1744,2019
1745,1997
1746,1978
1747,1957
1748,1937
1749,1934
1750,1942
1751,1961
1752,1981
1753,2000
1754,2013
1755,2026
1756,2029
1757,2018
1758,2000
1759,1970
1760,1938
1761,1909
1762,1877
1763,1858
1764,1844
1765,1841
1766,1853
1767,1870
1768,1893
1769,1917
1770,1936
1771,1957
1772,1967
1773,1978
1774,1979
1775,1974
1776,1966
1777,1951
1778,1939
1779,1931
1780,1929
1781,1933
1782,1942
1783,1963
1784,1993
1785,2023
1786,2047
1787,2070
1788,2085
1789,2095
1790,2089
1791,2078
1792,2058
1793,2029
1794,2000
1795,1975
1796,1957
1797,1939
1798,1932
1799,1927
1800,1936
1801,1953
1802,1968
1803,1985
1804,1999
1805,2007
1806,2013
1807,2007
1808,1990
1809,1984
1810,1968
1811,1953
1812,1937
1813,1929
1814,1923
1815,1929
1816,1941
1817,1962
1818,1984
1819,2001
1820,2022
1821,2032
1822,2038
1823,2040
1824,2034
1825,2018
1826,1996
1827,1974
1828,1957
1829,1940
1830,1930
1831,1926
1832,1934
1833,1951
1834,1983
1835,2019
1836,2064
1837,2099
1838,2119
1839,2138
1840,2145
1841,2139
1842,2121
1843,2095
1844,2061
1845,2029
1846,1999
1847,1969
1848,1951
1849,1936
1850,1939
1851,1955
1852,1969
1853,1994
1854,2015
1855,2038
1856,2064
1857,2079
1858,2089
1859,2086
1860,2084
1861,2078
1862,2071
1863,2064
1864,2063
1865,2063
1866,2070
1867,2090
1868,2107
1869,2128
1870,2150
1871,2169
1872,2177
1873,2188
1874,2189
1875,2186
1876,2170
1877,2153
1878,2131
1879,2117
1880,2103
1881,2096
1882,2102
1883,2113
1884,2131
1885,2157
1886,2183
1887,2203
1888,2221
1889,2226
1890,2235
1891,2231
1892,2224
1893,2218
1894,2209
1895,2199
1896,2192
1897,2195
1898,2199
1899,2214
1900,2231
1901,2256
1902,2275
1903,2297
1904,2311
1905,2320
1906,2321
1907,2319
1908,2301
1909,2279
1910,2256
1911,2239
1912,2222
1913,2209
1914,2202
1915,2203
1916,2209
1917,2224
1918,2245
1919,2257
1920,2267
1921,2273
1922,2271
1923,2264
1924,2255
1925,2238
1926,2219
1927,2194
1928,2178
1929,2161
1930,2147
1931,2143
1932,2139
1933,2147
1934,2163
1935,2176
1936,2188
1937,2192
1938,2195
1939,2196
1940,2192
1941,2176
1942,2154
1943,2126
1944,2099
1945,2074
1946,2064
1947,2047
1948,2062
1949,2075
1950,2094
1951,2126
1952,2147
1953,2171
1954,2191
1955,2192
1956,2187
1957,2166
1958,2135
1959,2100
1960,2063
1961,2023
1962,1994
1963,1969
1964,1953
1965,1946
1966,1949
