,mV
1427,1792
1428,1776
1429,1767
1430,1767
1431,1773
1432,1777
1433,1794
1434,1809
1435,1838
1436,1861
1437,1872
1438,1879
1439,1879
1440,1872
1441,1866
1442,1855
1443,1837
1444,1814
1445,1873
1446,1869
1447,1871
1448,1872
1449,1875
1450,1890
1451,1904
1452,1921
1453,1945
1454,1955
1455,1963
1456,1960
1457,1951
1458,1939
1459,1920
1460,1904
1461,1885
1462,1872
1463,1867
1464,1867
1465,1872
1466,1874
1467,1888
1468,1907
1469,1935
1470,1954
1471,1957
1472,1962
1473,1962
1474,1957
1475,1951
1476,1936
1477,1917
1478,1900
1479,1887
1480,1883
1481,1879
1482,1879
1483,1888
1484,1898
1485,1909
1486,1925
1487,1930
1488,1931
1489,1929
1490,1926
1491,1919
1492,1911
1493,1902
1494,1889
1495,1878
1496,1881
1497,1885
1498,1890
1499,1904
1500,1911
1501,1923
1502,1943
1503,1962
1504,1967
1505,1965
1506,1966
1507,1952
1508,1938
1509,1924
1510,1906
1511,1883
1512,1873
1513,1866
1514,1866
1515,1872
1516,1874
1517,1886
1518,1901
1519,1920
1520,1936
1521,1945
1522,1952
1523,1952
1524,1952
1525,1949
1526,1936
1527,1918
1528,1897
1529,1890
1530,1887
1531,1892
1532,1903
1533,1913
1534,1929
1535,1951
1536,1969
1537,1983
1538,1979
1539,1971
1540,1965
1541,1946
1542,1930
1543,1908
1544,1886
1545,1875
1546,1871
1547,1872
1548,1875
1549,1888
1550,1904
1551,1921
1552,1945
1553,1967
1554,1973
1555,1979
1556,1973
1557,1968
1558,1963
1559,1947
1560,1931
1561,1904
1562,1891
1563,1879
1564,1872
1565,1877
1566,1883
1567,1898
1568,1916
1569,1941
1570,1961
1571,1968
1572,1971
1573,1973
1574,1968
1575,1961
1576,1945
1577,1926
1578,1911
1579,1904
1580,1905
1581,1905
1582,1907
1583,1914
1584,1926
1585,1949
1586,1968
1587,1979
1588,1985
1589,1988
1590,1985
1591,1977
1592,1965
1593,1949
1594,1926
1595,1909
1596,1904
1597,1906
1598,1913
1599,1923
1600,1936
1601,1958
1602,1987
1603,2003
1604,2007
1605,2003
1606,1997
1607,1981
1608,1968
1609,1947
1610,1928
1611,1904
1612,1887
1613,1882
1614,1883
1615,1894
1616,1906
1617,1926
1618,1956
1619,1985
1620,2007
1621,2019
1622,2026
1623,2023
1624,2021
1625,2007
1626,1997
1627,1971
1628,1957
1629,1947
1630,1945
1631,1948
1632,1951
1633,1963
1634,1968
1635,1989
1636,2006
1637,2021
1638,2023
1639,2011
1640,2006
1641,1996
1642,1989
1643,1980
1644,1959
1645,1950
1646,1942
1647,1941
1648,1943
1649,1953
1650,1974
