,mV
2004,1721
2005,1701
2006,1711
2007,1730
2008,1763
2009,1805
2010,1840
2011,1877
2012,1923
2013,1951
2014,1955
2015,1920
2016,1867
2017,1804
2018,1743
2019,1690
2020,1638
2021,1603
2022,1600
2023,1640
2024,1691
2025,1755
2026,1818
2027,1877
2028,1937
2029,1985
2030,2012
2031,2000
2032,1967
2033,1904
2034,1840
2035,1776
2036,1717
2037,1648
2038,1600
2039,1591
2040,1601
2041,1635
2042,1673
2043,1713
2044,1759
2045,1808
2046,1856
2047,1879
2048,1883
2049,1864
2050,1835
2051,1802
2052,1765
2053,1721
2054,1674
2055,1646
2056,1638
2057,1643
2058,1662
2059,1686
2060,1718
2061,1747
2062,1791
2063,1819
2064,1840
2065,1843
2066,1834
2067,1812
2068,1791
2069,1768
2070,1737
2071,1712
2072,1707
2073,1719
2074,1745
2075,1766
2076,1786
2077,1807
2078,1815
2079,1843
2080,1857
2081,1858
2082,1844
2083,1827
2084,1799
2085,1773
2086,1737
2087,1699
2088,1671
2089,1674
2090,1702
2091,1744
2092,1789
2093,1829
2094,1865
2095,1903
2096,1923
2097,1923
2098,1902
2099,1861
2100,1807
2101,1753
2102,1711
2103,1657
2104,1611
2105,1589
2106,1598
2107,1633
2108,1686
2109,1747
2110,1808
2111,1876
2112,1949
2113,1999
2114,2018
2115,2001
2116,1974
2117,1926
2118,1875
2119,1824
2120,1771
2121,1723
2122,1700
2123,1703
2124,1721
2125,1751
2126,1786
2127,1809
2128,1841
2129,1870
2130,1887
2131,1889
2132,1866
2133,1833
2134,1792
2135,1756
2136,1715
2137,1675
2138,1651
2139,1655
2140,1681
2141,1728
2142,1782
2143,1830
2144,1870
2145,1900
2146,1923
2147,1927
2148,1914
2149,1887
2150,1838
2151,1793
2152,1744
2153,1695
2154,1647
2155,1631
2156,1647
2157,1680
2158,1726
2159,1769
2160,1807
2161,1838
2162,1871
2163,1891
2164,1897
2165,1873
2166,1843
2167,1794
2168,1744
2169,1691
2170,1631
2171,1582
2172,1555
2173,1561
2174,1595
2175,1642
2176,1665
2177,1717
2178,1766
2179,1814
2180,1860
2181,1920
2182,1961
2183,1983
2184,1970
2185,1945
2186,1909
2187,1866
2188,1819
2189,1761
2190,1721
2191,1712
2192,1737
2193,1777
2194,1830
2195,1879
2196,1928
2197,1979
2198,2017
2199,2039
2200,2037
2201,2013
2202,1975
2203,1951
2204,1930
2205,1898
2206,1854
2207,1826
2208,1822
2209,1836
2210,1850
2211,1863
2212,1875
2213,1893
2214,1923
2215,1952
2216,1969
2217,1970
2218,1951
2219,1929
2220,1897
2221,1863
2222,1823
2223,1779
2224,1750
2225,1750
2226,1760
2227,1781
2228,1811
2229,1843
2230,1881
2231,1925
2232,1952
2233,1958
2234,1925
2235,1872
2236,1810
2237,1755
2238,1701
2239,1633
2240,1584
2241,1565
2242,1578
2243,1616
2244,1661
2245,1717
2246,1765
2247,1813
2248,1860
2249,1883
2250,1878
2251,1858
2252,1821
2253,1782
2254,1741
2255,1689
2256,1636
2257,1597
2258,1585
2259,1588
2260,1619
2261,1655
2262,1686
2263,1719
2264,1760
2265,1789
2266,1808
2267,1802
2268,1780
2269,1744
2270,1706
2271,1669
2272,1616
2273,1562
2274,1550
2275,1566
2276,1601
2277,1659
2278,1712
2279,1765
2280,1811
2281,1858
2282,1888
2283,1902
2284,1887
2285,1856
2286,1811
2287,1776
2288,1737
2289,1685
2290,1648
2291,1638
2292,1651
2293,1686
2294,1728
2295,1765
2296,1798
2297,1827
2298,1857
2299,1871
2300,1856
2301,1819
2302,1765
2303,1712
2304,1649
2305,1595
2306,1535
2307,1507
2308,1511
2309,1549
2310,1598
2311,1657
2312,1715
2313,1769
2314,1826
2315,1877
2316,1910
2317,1921
2318,1913
2319,1887
2320,1866
2321,1829
2322,1782
2323,1729
2324,1695
2325,1683
2326,1708
2327,1743
2328,1777
2329,1809
2330,1840
2331,1865
2332,1891
2333,1889
2334,1865
2335,1826
2336,1777
2337,1734
2338,1693
2339,1652
2340,1619
2341,1616
2342,1636
2343,1669
2344,1707
2345,1739
2346,1757
2347,1776
2348,1799
2349,1810
2350,1810
2351,1804
2352,1802
2353,1795
2354,1808
2355,1806
2356,1798
2357,1808
2358,1841
2359,1893
2360,1974
2361,2068
2362,2165
2363,2261
2364,2359
2365,2451
2366,2526
2367,2572
2368,2595
2369,2601
2370,2610
2371,2630
2372,2655
2373,2693
2374,2773
2375,2886
2376,3024
2377,3179
2378,3335
2379,3477
2380,3632
2381,3760
2382,3856
2383,3879
2384,3787
2385,3655
2386,3531
2387,3363
2388,3184
2389,2966
2390,2747
2391,2541
2392,2352
2393,2192
2394,2043
2395,1914
2396,1801
2397,1714
2398,1655
2399,1597
2400,1535
2401,1472
2402,1414
2403,1363
2404,1345
2405,1335
2406,1330
2407,1348
2408,1394
2409,1463
2410,1552
2411,1646
2412,1727
2413,1808
2414,1888
2415,1954
2416,1991
2417,1992
2418,1963
2419,1906
2420,1847
2421,1785
2422,1719
2423,1663
2424,1622
2425,1614
2426,1621
2427,1660
2428,1712
2429,1758
2430,1802
2431,1850
2432,1899
2433,1920
2434,1920
2435,1906
2436,1887
2437,1860
2438,1831
2439,1786
2440,1741
2441,1715
2442,1709
2443,1713
2444,1731
2445,1757
2446,1790
2447,1823
2448,1863
2449,1895
2450,1904
2451,1888
2452,1867
2453,1838
2454,1808
2455,1775
2456,1725
2457,1698
2458,1699
2459,1718
2460,1747
2461,1789
2462,1821
2463,1851
2464,1884
2465,1915
2466,1930
2467,1921
2468,1899
2469,1856
2470,1811
2471,1766
2472,1709
2473,1649
2474,1616
2475,1614
2476,1633
2477,1663
2478,1693
2479,1743
2480,1789
2481,1840
2482,1876
2483,1895
2484,1872
2485,1836
2486,1776
2487,1714
2488,1653
2489,1603
2490,1567
2491,1574
2492,1604
2493,1663
2494,1727
2495,1788
2496,1847
