,0
465,1837.0
466,1767.0
467,1695.0
468,1646.0
469,1617.0
470,1638.0
471,1667.0
472,1711.0
473,1751.0
474,1787.0
475,1837.0
476,1877.0
477,1905.0
478,1904.0
479,1878.0
480,1839.0
481,1791.0
482,1738.0
483,1681.0
484,1618.0
485,1586.0
486,1583.0
487,1610.0
488,1659.0
489,1721.0
490,1777.0
491,1836.0
492,1889.0
493,1936.0
494,1946.0
495,1925.0
496,1879.0
497,1813.0
498,1746.0
499,1678.0
500,1606.0
501,1551.0
502,1518.0
503,1520.0
504,1552.0
505,1595.0
506,1649.0
507,1694.0
508,1743.0
509,1786.0
510,1815.0
511,1818.0
512,1797.0
513,1744.0
514,1695.0
515,1642.0
516,1584.0
517,1520.0
518,1482.0
519,1473.0
520,1498.0
521,1535.0
522,1598.0
523,1660.0
524,1710.0
525,1759.0
526,1809.0
527,1839.0
528,1835.0
529,1799.0
530,1747.0
531,1691.0
532,1634.0
533,1572.0
534,1510.0
535,1481.0
536,1483.0
537,1518.0
538,1573.0
539,1631.0
540,1686.0
541,1745.0
542,1805.0
543,1856.0
544,1874.0
545,1869.0
546,1825.0
547,1771.0
548,1707.0
549,1642.0
550,1558.0
551,1487.0
552,1456.0
553,1453.0
554,1483.0
555,1525.0
556,1587.0
557,1637.0
558,1687.0
559,1741.0
560,1767.0
561,1777.0
562,1762.0
563,1730.0
564,1681.0
565,1648.0
566,1605.0
567,1552.0
568,1509.0
569,1504.0
570,1520.0
571,1568.0
572,1618.0
573,1671.0
574,1719.0
575,1774.0
576,1823.0
577,1859.0
578,1856.0
579,1819.0
580,1760.0
581,1694.0
582,1628.0
583,1555.0
584,1488.0
585,1456.0
586,1458.0
587,1491.0
588,1552.0
589,1625.0
590,1689.0
591,1754.0
592,1813.0
593,1869.0
594,1886.0
595,1872.0
596,1829.0
597,1759.0
598,1694.0
599,1625.0
600,1552.0
601,1491.0
602,1472.0
603,1490.0
604,1526.0
605,1584.0
606,1645.0
607,1707.0
608,1775.0
609,1833.0
610,1872.0
611,1890.0
612,1872.0
613,1837.0
614,1783.0
615,1728.0
616,1658.0
617,1584.0
618,1533.0
619,1513.0
620,1525.0
621,1569.0
622,1618.0
623,1667.0
624,1714.0
625,1761.0
626,1808.0
627,1837.0
628,1833.0
629,1799.0
630,1749.0
631,1693.0
632,1637.0
633,1574.0
634,1503.0
635,1472.0
636,1471.0
637,1502.0
638,1552.0
639,1613.0
640,1671.0
641,1730.0
642,1795.0
643,1839.0
644,1863.0
645,1840.0
646,1795.0
647,1738.0
648,1674.0
649,1603.0
650,1521.0
651,1453.0
652,1416.0
653,1409.0
654,1431.0
655,1485.0
656,1535.0
657,1589.0
658,1645.0
659,1690.0
660,1717.0
